N,replication,J_hat_N,se,lo,hi,covers
32,12,-3.2966919564e+01,6.3306872429e-01,-3.4207711463e+01,-3.1726127665e+01,1
32,13,-3.2335328450e+01,5.5269491657e-01,-3.3418590581e+01,-3.1252066319e+01,1
32,14,-3.1690408165e+01,6.4931460260e-01,-3.2963041401e+01,-3.0417774929e+01,1
32,15,-3.3299414108e+01,5.6510027731e-01,-3.4406990300e+01,-3.2191837917e+01,0
32,16,-3.2582881953e+01,5.7482472833e-01,-3.3709517718e+01,-3.1456246188e+01,1
32,17,-3.2516603221e+01,6.6672082207e-01,-3.3823352020e+01,-3.1209854422e+01,1
32,18,-3.0962698404e+01,6.4878590481e-01,-3.2234295411e+01,-2.9691101397e+01,1
32,19,-3.2327382784e+01,4.0291036305e-01,-3.3117072585e+01,-3.1537692984e+01,1
32,20,-3.2648444638e+01,6.4791028566e-01,-3.3918325463e+01,-3.1378563813e+01,1
32,21,-3.2083365072e+01,7.0909781340e-01,-3.3473171248e+01,-3.0693558896e+01,1
32,22,-3.1628635064e+01,4.6349985093e-01,-3.2537078079e+01,-3.0720192050e+01,1
32,23,-3.2156239134e+01,6.2940544942e-01,-3.3389851146e+01,-3.0922627121e+01,1
32,24,-3.1875400154e+01,5.6717786228e-01,-3.2987048336e+01,-3.0763751971e+01,1
32,25,-3.1781193537e+01,5.7241969129e-01,-3.2903115516e+01,-3.0659271558e+01,1
32,26,-3.2058523249e+01,6.6754827489e-01,-3.3366893826e+01,-3.0750152672e+01,1
32,27,-3.2104681768e+01,7.6571656924e-01,-3.3605458666e+01,-3.0603904870e+01,1
32,28,-3.0667634148e+01,6.9016626430e-01,-3.2020335169e+01,-2.9314933126e+01,0
32,29,-3.2358313388e+01,6.1139826881e-01,-3.3556631975e+01,-3.1159994801e+01,1
32,30,-3.1353701196e+01,6.0236255722e-01,-3.2534310113e+01,-3.0173092278e+01,1
32,31,-3.2581051518e+01,6.1322392649e-01,-3.3782948328e+01,-3.1379154708e+01,1
32,32,-3.1388890528e+01,5.6888213405e-01,-3.2503879023e+01,-3.0273902034e+01,1
32,33,-3.1623091709e+01,5.7249302521e-01,-3.2745157420e+01,-3.0501025998e+01,1
32,34,-3.1453329449e+01,5.8519813051e-01,-3.2600296709e+01,-3.0306362189e+01,1
32,35,-3.1676659182e+01,6.8498337304e-01,-3.3019201923e+01,-3.0334116441e+01,1
32,36,-3.2199133462e+01,5.5889474590e-01,-3.3294547035e+01,-3.1103719888e+01,1
32,37,-3.2602887932e+01,7.5812597391e-01,-3.4088787537e+01,-3.1116988327e+01,1
32,38,-3.1763824529e+01,6.3701401482e-01,-3.3012349055e+01,-3.0515300002e+01,1
32,39,-3.1576049519e+01,6.1003630713e-01,-3.2771698710e+01,-3.0380400328e+01,1
32,40,-3.2132680729e+01,6.3442791297e-01,-3.3376136590e+01,-3.0889224869e+01,1
32,41,-3.1713042340e+01,4.7755591174e-01,-3.2649034728e+01,-3.0777049953e+01,1
32,42,-3.0978510685e+01,6.8859032116e-01,-3.2328122914e+01,-2.9628898455e+01,1
32,43,-3.2073790928e+01,6.9091440503e-01,-3.3427958278e+01,-3.0719623577e+01,1
32,44,-3.2342976630e+01,5.7854003637e-01,-3.3476894265e+01,-3.1209058995e+01,1
32,45,-3.1203133736e+01,5.9732343111e-01,-3.2373866148e+01,-3.0032401324e+01,1
32,46,-3.2467326430e+01,6.9305771097e-01,-3.3825694583e+01,-3.1108958278e+01,1
32,47,-3.2294779848e+01,7.0060490701e-01,-3.3667940233e+01,-3.0921619463e+01,1
32,48,-3.1761424092e+01,5.5197580847e-01,-3.2843276797e+01,-3.0679571387e+01,1
32,49,-3.2080509090e+01,5.9784307607e-01,-3.3252259988e+01,-3.0908758193e+01,1
