sqrtN_dJ_N8,sqrtN_dJ_N16,sqrtN_dJ_N32,sqrtN_dJ_N64
7.936559638248153306e+02,1.533237754795525689e+03,6.467702661549579943e+02,7.273182544782175682e+02
1.407151838596672633e+02,1.697465204457941581e+03,3.416561906434474736e+02,-7.822189166618627496e+02
1.893981456821784093e+02,2.050477831057447474e+03,1.961987231305050273e+03,6.673285193147603422e+01
1.023668874594774479e+03,-1.120332129988993984e+03,4.641905969347445371e+00,-1.231911182180745527e+03
-3.231122766327915201e+02,3.243093943214043975e+02,4.853277169450577588e+01,-8.582974124905013014e+02
9.767267281149770497e+02,-1.393258999369572848e+02,3.692667894344787101e+02,5.771563124668900855e+02
-1.639768558276442718e+03,-4.980831828029331518e+02,-2.770005684847012049e+02,-1.583796707558212802e+02
2.726352152292507981e+03,1.017962681510398397e+03,1.662436343071829015e+02,-2.239553841497690883e+02
7.680994210743120902e+02,1.420883454568829620e+02,3.202897380049768117e+02,1.009004571969853714e+00
-5.455709261009149031e+02,-1.378373936467382009e+03,-1.542603373126793485e+03,-1.462930232896702364e+03
-2.162935498335597913e+03,-1.539364536497581867e+03,5.364407612781832313e+01,-9.552677965875191148e+02
-6.294660198077061750e+02,-2.163331286253975122e+03,-2.342829101551674739e+03,1.589989883525238838e+03
2.201204252464860474e+03,2.469286666505679023e+03,2.804383321397598138e+03,2.107860656258562813e+03
4.480613956802361599e+02,7.844726188603090122e+00,8.000679405927533026e+02,2.468342854398972122e+03
-8.444921365253132990e+02,-4.615728762416692916e+02,-5.837141337063840183e+02,-4.511083246099587996e+02
-1.998511843021271034e+03,-8.292227235363534419e+02,-5.107834916405540753e+02,5.763020645945216529e+02
-8.445334715399831111e+02,-4.482165788550919387e+02,-2.274601355602379158e+02,9.319822947228676639e+02
-1.453820844161988816e+03,2.430638267657195684e+02,3.850489279069009285e+02,1.540694002387725050e+03
-1.011272791209009711e+03,-9.134993927935720421e+02,-1.453841058141950498e+03,-9.108801759532361757e+02
-7.959855292641441338e+02,-8.892392342930543236e+01,-9.986924360383235353e+02,-4.033032247946539428e+02
1.423829087728698539e+01,-4.009866806938953232e+02,-5.440012932142352611e+02,1.624569692657591077e+03
3.268902137027917547e+02,-8.749252496165572666e+02,-5.985841074866134477e+02,-7.862833781444351189e+01
-2.685100997983618072e+03,-1.516016939005043241e+03,-2.182516445694081085e+03,-2.311310176087048603e+03
-9.486824908415915161e+02,-1.622154388913695584e+03,-1.778578447584334526e+03,-3.519612637907179305e+03
-1.140111139577467156e+03,-4.497678707589511760e+01,2.121755511708284985e+02,-1.356285580028168624e+03
-4.453410086643087311e+02,-2.992424714814260369e+02,-4.111268915701435276e+02,2.788810617438284680e+02
-2.224970963706276962e+03,-3.173600558347214246e+03,-1.597371092808453795e+03,-6.417138138539448846e+02
-4.008780679819471516e+03,-2.760539848559303209e+03,-2.211682195666652206e+03,-1.071868078601779416e+03
-2.368319148218335613e+03,-1.123143994848025613e+03,-1.652770203068339015e+03,-1.815377603968197946e+03
