t,u_nominal control,u_SAA control
4.973121000000000436e+01,6.578349470455080450e+00,8.120525021066596238e+00
4.976179499999999933e+01,6.589475712612692604e+00,8.136815863276977367e+00
4.979238000000000142e+01,6.600615085338419341e+00,8.153132065573908349e+00
4.982296500000000350e+01,6.611749274579564961e+00,8.169485431009107401e+00
4.985354999999999848e+01,6.622920527298522764e+00,8.185874006981912032e+00
4.988413500000000056e+01,6.634091035423247185e+00,8.202294114741567554e+00
4.991472000000000264e+01,6.645288641996027756e+00,8.218755834898438195e+00
4.994530500000000472e+01,6.656494397557332299e+00,8.235248422505321741e+00
4.997588999999999970e+01,6.667715355344123296e+00,8.251767983159908226e+00
5.000647500000000178e+01,6.678957741218659372e+00,8.268320441554186218e+00
5.003706000000000387e+01,6.690223853335219850e+00,8.284899889568963616e+00
5.006764499999999884e+01,6.701508118022088567e+00,8.301521639083999204e+00
5.009823000000000093e+01,6.712785612314383421e+00,8.318163117847472421e+00
5.012881500000000301e+01,6.724105362775634198e+00,8.334841682561565435e+00
5.015940000000000509e+01,6.735439898626741417e+00,8.351551324659242326e+00
5.018998500000000007e+01,6.746789383488196457e+00,8.368297857777402982e+00
5.022057000000000215e+01,6.758151472432148310e+00,8.385073638623259384e+00
5.025115500000000424e+01,6.769533323064085728e+00,8.401892527093146157e+00
5.028173999999999921e+01,6.780936623623158965e+00,8.418744192843769625e+00
5.031232500000000130e+01,6.792354215585647559e+00,8.435631790400153207e+00
5.034291000000000338e+01,6.803799703797767329e+00,8.452562501393645178e+00
5.037349499999999836e+01,6.815250255080907316e+00,8.469537707111200575e+00
5.040408000000000044e+01,6.826722923101679719e+00,8.486554145508621971e+00
5.043466500000000252e+01,6.838210166302076232e+00,8.503609780450092970e+00
5.046525000000000460e+01,6.849707115021755222e+00,8.520720783117383235e+00
5.049583499999999958e+01,6.861221913296720487e+00,8.537877734501268634e+00
5.052642000000000166e+01,6.872759004424747076e+00,8.555104623615816806e+00
5.055700500000000375e+01,6.884307493267334266e+00,8.572362036790377005e+00
