t,u
3.394935000000000258e+01,2.749158503549214760e+00
3.397993500000000466e+01,2.753838035277932583e+00
3.401051999999999964e+01,2.758518747560500639e+00
3.404110500000000172e+01,2.763210049327884388e+00
3.407169000000000381e+01,2.767907568909334426e+00
3.410227499999999878e+01,2.772616286041469813e+00
3.413286000000000087e+01,2.777324357402457977e+00
3.416344500000000295e+01,2.782059567726412386e+00
3.419402999999999793e+01,2.786778824940383092e+00
3.422461500000000001e+01,2.791517746503761721e+00
3.425520000000000209e+01,2.796260015370038321e+00
3.428578500000000417e+01,2.801007138894521464e+00
3.431636999999999915e+01,2.805778681207752534e+00
3.434695500000000123e+01,2.810552091850266443e+00
3.437754000000000332e+01,2.815340863833953655e+00
3.440812499999999829e+01,2.820129992750571635e+00
3.443871000000000038e+01,2.824929307181520244e+00
3.446929500000000246e+01,2.829741608374798378e+00
3.449988000000000454e+01,2.834545855826217320e+00
3.453046499999999952e+01,2.839370571158829737e+00
3.456105000000000160e+01,2.844213087156020503e+00
3.459163500000000369e+01,2.849034920789722314e+00
3.462221999999999866e+01,2.853889973815219694e+00
3.465280500000000075e+01,2.858756444084741943e+00
3.468339000000000283e+01,2.863614145219453455e+00
3.471397499999999781e+01,2.868493645146411364e+00
3.474455999999999989e+01,2.873370330354468649e+00
3.477514500000000197e+01,2.878262205700460985e+00
3.480573000000000405e+01,2.883163685347190697e+00
3.483631499999999903e+01,2.888068179160806714e+00
3.486690000000000111e+01,2.892993741298496957e+00
3.489748500000000320e+01,2.897915878401766676e+00
3.492806999999999817e+01,2.902833058288111889e+00
3.495865500000000026e+01,2.907786717782865793e+00
3.498924000000000234e+01,2.912740236529127280e+00
3.501982500000000442e+01,2.917685869410268751e+00
3.505040999999999940e+01,2.922651134194896638e+00
3.508099500000000148e+01,2.927629695927352227e+00
3.511158000000000357e+01,2.932605854565433212e+00
3.514216499999999854e+01,2.937589610154125008e+00
3.517275000000000063e+01,2.942606202668775595e+00
3.520333500000000271e+01,2.947610093782894847e+00
3.523391999999999769e+01,2.952620326338030399e+00
3.526450499999999977e+01,2.957630157473034593e+00
3.529509000000000185e+01,2.962669867288930892e+00
3.532567500000000393e+01,2.967701750907004943e+00
3.535625999999999891e+01,2.972764634741357437e+00
3.538684500000000099e+01,2.977811285145173237e+00
3.541743000000000308e+01,2.982875801387106840e+00
3.544801499999999805e+01,2.987935626577952419e+00
3.547860000000000014e+01,2.993024549440985727e+00
3.550918500000000222e+01,2.998117876609989629e+00
3.553977000000000430e+01,3.003200180642212835e+00
3.557035499999999928e+01,3.008295749774892336e+00
3.560094000000000136e+01,3.013413124962559753e+00
3.563152500000000344e+01,3.018536727683314602e+00
3.566210999999999842e+01,3.023661588840401482e+00
3.569269500000000050e+01,3.028790498620348881e+00
3.572328000000000259e+01,3.033934304158121265e+00
3.575386500000000467e+01,3.039082929817540801e+00
3.578444999999999965e+01,3.044244552139060644e+00
3.581503500000000173e+01,3.049420698429471166e+00
3.584562000000000381e+01,3.054597484285955122e+00
3.587620499999999879e+01,3.059785451316405780e+00
3.590679000000000087e+01,3.064971763556493034e+00
3.593737500000000296e+01,3.070187595572356098e+00
3.596795999999999793e+01,3.075389135778602068e+00
3.599854500000000002e+01,3.080620079024741109e+00
3.602913000000000210e+01,3.085838139064033481e+00
3.605971500000000418e+01,3.091080353620847543e+00
3.609029999999999916e+01,3.096318728578219215e+00
3.612088500000000124e+01,3.101578043153876862e+00
3.615147000000000332e+01,3.106843001636260926e+00
3.618205499999999830e+01,3.112121724930109412e+00
3.621264000000000038e+01,3.117402252840298704e+00
3.624322500000000247e+01,3.122686747052017431e+00
3.627381000000000455e+01,3.128000386386272424e+00
3.630439499999999953e+01,3.133298906220046476e+00
3.633498000000000161e+01,3.138617338676661817e+00
3.636556500000000369e+01,3.143945458605984289e+00
3.639614999999999867e+01,3.149286700420133478e+00
3.642673500000000075e+01,3.154622902611867286e+00
3.645732000000000284e+01,3.159986882147928888e+00
3.648790499999999781e+01,3.165357728760633371e+00
3.651848999999999990e+01,3.170730021638363372e+00
3.654907500000000198e+01,3.176104502318250145e+00
3.657966000000000406e+01,3.181510836099379347e+00
3.661024499999999904e+01,3.186911273076405759e+00
3.664083000000000112e+01,3.192331346645408185e+00
3.667141500000000320e+01,3.197749143620566503e+00
3.670199999999999818e+01,3.203186086134264698e+00
3.673258500000000026e+01,3.208634324031327090e+00
3.676317000000000235e+01,3.214074961209070658e+00
3.679375500000000443e+01,3.219535626068917633e+00
3.682433999999999941e+01,3.225002425752754753e+00
3.685492500000000149e+01,3.230479652350890518e+00
3.688551000000000357e+01,3.235973519288060096e+00
3.691609499999999855e+01,3.241487054025527836e+00
3.694668000000000063e+01,3.246998476052519234e+00
3.697726500000000271e+01,3.252515631184599965e+00
3.700785000000000480e+01,3.258039308566254011e+00
3.703843499999999977e+01,3.263590914979594526e+00
3.706902000000000186e+01,3.269134553346546124e+00
3.709960500000000394e+01,3.274682934160015879e+00
3.713018999999999892e+01,3.280255610254870557e+00
3.716077500000000100e+01,3.285829057959786859e+00
3.719136000000000308e+01,3.291411487216172826e+00
3.722194499999999806e+01,3.297008740063256838e+00
3.725253000000000014e+01,3.302619518295514034e+00
3.728311500000000223e+01,3.308227556586324170e+00
3.731370000000000431e+01,3.313847952699306543e+00
3.734428499999999929e+01,3.319479912829832902e+00
3.737487000000000137e+01,3.325126907304122970e+00
3.740545500000000345e+01,3.330767737999375644e+00
3.743603999999999843e+01,3.336436622215541714e+00
3.746662500000000051e+01,3.342110942200227086e+00
3.749721000000000259e+01,3.347784424928172076e+00
3.752779500000000468e+01,3.353451931742781778e+00
3.755837999999999965e+01,3.359151907469269727e+00
3.758896500000000174e+01,3.364863342035567584e+00
3.761955000000000382e+01,3.370572244694753028e+00
3.765013499999999880e+01,3.376303934321928768e+00
3.768072000000000088e+01,3.382019885889167909e+00
3.771130500000000296e+01,3.387771206623477749e+00
3.774188999999999794e+01,3.393520507578109413e+00
3.777247500000000002e+01,3.399277874102869301e+00
3.780306000000000211e+01,3.405046523116213031e+00
3.783364500000000419e+01,3.410823601832526641e+00
3.786422999999999917e+01,3.416607558316894888e+00
3.789481500000000125e+01,3.422397536319576883e+00
3.792540000000000333e+01,3.428189618382100790e+00
3.795598499999999831e+01,3.433997438986544193e+00
3.798657000000000039e+01,3.439825295491933055e+00
3.801715500000000247e+01,3.445655829888339738e+00
3.804774000000000456e+01,3.451489582268236767e+00
3.807832499999999953e+01,3.457343155279485991e+00
3.810891000000000162e+01,3.463203681042497983e+00
3.813949500000000370e+01,3.469069990375092782e+00
3.817007999999999868e+01,3.474942373762892167e+00
3.820066500000000076e+01,3.480833020255473809e+00
3.823125000000000284e+01,3.486721229470600480e+00
3.826183499999999782e+01,3.492624570608923396e+00
3.829241999999999990e+01,3.498549264284052995e+00
3.832300500000000198e+01,3.504470097753646929e+00
3.835359000000000407e+01,3.510404973598701073e+00
3.838417499999999905e+01,3.516346980032355685e+00
3.841476000000000113e+01,3.522307481488081482e+00
3.844534500000000321e+01,3.528273502700264075e+00
3.847592999999999819e+01,3.534256537060044945e+00
3.850651500000000027e+01,3.540241857235152612e+00
3.853710000000000235e+01,3.546238557789544554e+00
3.856768500000000444e+01,3.552256497999197737e+00
3.859826999999999941e+01,3.558271720985364261e+00
3.862885500000000150e+01,3.564291730258086766e+00
3.865944000000000358e+01,3.570347491069471246e+00
3.869002499999999856e+01,3.576400854443001709e+00
3.872061000000000064e+01,3.582470237872043217e+00
3.875119500000000272e+01,3.588541291872985539e+00
3.878178000000000480e+01,3.594626453077450989e+00
3.881236499999999978e+01,3.600730162582656213e+00
3.884295000000000186e+01,3.606834310860715043e+00
3.887353500000000395e+01,3.612953308018437948e+00
3.890411999999999892e+01,3.619090173570924218e+00
3.893470500000000101e+01,3.625229752399232286e+00
3.896529000000000309e+01,3.631386490658023547e+00
3.899587499999999807e+01,3.637550016014558629e+00
3.902646000000000015e+01,3.643722621595509192e+00
3.905704500000000223e+01,3.649908076996225326e+00
3.908763000000000432e+01,3.656105728533693089e+00
3.911821499999999929e+01,3.662308590335518588e+00
3.914880000000000138e+01,3.668531858393404121e+00
3.917938500000000346e+01,3.674757697302172055e+00
3.920996999999999844e+01,3.680999520517318047e+00
3.924055500000000052e+01,3.687246190262358780e+00
3.927114000000000260e+01,3.693505087246706786e+00
3.930172500000000468e+01,3.699763635453603872e+00
3.933230999999999966e+01,3.706058308751462693e+00
3.936289500000000174e+01,3.712348332091219394e+00
3.939348000000000383e+01,3.718646352019996382e+00
3.942406499999999880e+01,3.724958812980409206e+00
3.945465000000000089e+01,3.731269365844534391e+00
3.948523500000000297e+01,3.737605947580745269e+00
3.951581999999999795e+01,3.743946933874577887e+00
3.954640500000000003e+01,3.750287698179333162e+00
3.957699000000000211e+01,3.756649884815873808e+00
3.960757500000000420e+01,3.763021036461595692e+00
3.963815999999999917e+01,3.769395796936026777e+00
3.966874500000000126e+01,3.775791908668255203e+00
3.969933000000000334e+01,3.782201787307143181e+00
3.972991499999999832e+01,3.788600720204802652e+00
3.976050000000000040e+01,3.795026130929503694e+00
3.979108500000000248e+01,3.801451966061287546e+00
3.982167000000000456e+01,3.807885461251603321e+00
3.985225499999999954e+01,3.814336835589708929e+00
3.988284000000000162e+01,3.820795385797160826e+00
3.991342500000000371e+01,3.827253601656442683e+00
3.994400999999999868e+01,3.833737899262778637e+00
3.997459500000000077e+01,3.840221629046479013e+00
4.000518000000000285e+01,3.846722968436282031e+00
4.003576500000000493e+01,3.853240930875163617e+00
4.006634999999999991e+01,3.859756118570390804e+00
4.009693500000000199e+01,3.866293901509710196e+00
4.012752000000000407e+01,3.872811287175805806e+00
4.015810499999999905e+01,3.879365284136959247e+00
4.018869000000000113e+01,3.885923130257837421e+00
4.021927500000000322e+01,3.892491681191575292e+00
4.024985999999999819e+01,3.899077457873439290e+00
4.028044500000000028e+01,3.905675280742040290e+00
4.031103000000000236e+01,3.912281965941194706e+00
4.034161500000000444e+01,3.918888167053140137e+00
4.037219999999999942e+01,3.925524995615241597e+00
4.040278500000000150e+01,3.932158265483349791e+00
4.043337000000000359e+01,3.938817153835167506e+00
4.046395499999999856e+01,3.945485886558989463e+00
4.049454000000000065e+01,3.952153706412609768e+00
4.052512500000000273e+01,3.958838351125496757e+00
4.055571000000000481e+01,3.965536578214493346e+00
4.058629499999999979e+01,3.972227302444350183e+00
4.061688000000000187e+01,3.978973222137005106e+00
4.064746500000000395e+01,3.985712815472855386e+00
4.067804999999999893e+01,3.992454633685806886e+00
4.070863500000000101e+01,3.999213837345534373e+00
4.073922000000000310e+01,4.005987239527295962e+00
4.076980499999999807e+01,4.012763674362909150e+00
4.080039000000000016e+01,4.019556802914722837e+00
4.083097500000000224e+01,4.026367936013905080e+00
4.086156000000000432e+01,4.033194589057338852e+00
4.089214499999999930e+01,4.040021357631663257e+00
4.092273000000000138e+01,4.046865809420353344e+00
4.095331500000000347e+01,4.053723426702259047e+00
4.098389999999999844e+01,4.060589185648714405e+00
4.101448500000000053e+01,4.067481448702343627e+00
4.104507000000000261e+01,4.074364087243955268e+00
4.107565500000000469e+01,4.081281228583388376e+00
4.110623999999999967e+01,4.088189175078085213e+00
4.113682500000000175e+01,4.095128396504038371e+00
4.116741000000000383e+01,4.102072160937244583e+00
4.119799499999999881e+01,4.109027124740070036e+00
4.122858000000000089e+01,4.115980770042732217e+00
4.125916500000000298e+01,4.122962478427079525e+00
4.128974999999999795e+01,4.129959986095451896e+00
4.132033500000000004e+01,4.136964990369222051e+00
4.135092000000000212e+01,4.143974938170002176e+00
4.138150500000000420e+01,4.151006000536519913e+00
4.141208999999999918e+01,4.158036390225552381e+00
4.144267500000000126e+01,4.165093947127704865e+00
4.147326000000000334e+01,4.172148376078308019e+00
4.150384499999999832e+01,4.179217082811345740e+00
4.153443000000000040e+01,4.186289996205940334e+00
4.156501500000000249e+01,4.193389639297504523e+00
4.159560000000000457e+01,4.200493761329975761e+00
4.162618499999999955e+01,4.207609045590283259e+00
4.165677000000000163e+01,4.214729913704918118e+00
4.168735500000000371e+01,4.221870599736537777e+00
4.171793999999999869e+01,4.228998455653472988e+00
4.174852500000000077e+01,4.236173787769929255e+00
4.177911000000000286e+01,4.243329937373182759e+00
4.180969500000000494e+01,4.250520209059362564e+00
