sqrtN_dJ_N8,sqrtN_dJ_N16,sqrtN_dJ_N32,sqrtN_dJ_N64
3.782010104439197384e-01,2.657318324853221725e+00,1.944937002315000552e+00,1.590922601702857264e+00
-1.038348612442568708e+01,-4.454911762633059880e+00,-2.022855672408502059e+00,-6.643124920950299384e+00
-3.158679556093832108e+00,-1.853565927459101204e+00,2.423702839946454635e+00,1.584447195314254486e+00
-1.332685954261809691e+00,-4.036722678763908334e+00,-2.071329729009245391e+00,-3.202020859303786438e+00
4.296746204282500869e+00,4.864114564494158799e+00,-2.499591133007649457e+00,2.239369497218660854e+00
-2.963161994909276231e+00,-7.972552924717604128e-01,1.625383814475023003e+00,2.187960376828044673e+00
-6.086665352511647420e+00,-8.456783949155095570e+00,-6.430051880791731733e+00,-7.235732568856406033e+00
2.448347357047036432e+00,2.352926178262066514e+00,4.001261701260911074e+00,8.798195415303950995e-01
3.385120915968191646e+00,4.614799846509157533e+00,8.549990003631902091e-02,2.370983373681241346e+00
-1.269627633398667244e-01,5.056061648539710518e+00,9.989245691118923132e-01,3.338817988924972724e+00
2.504643830884013767e+00,4.333636295796367222e+00,2.728984728433105467e+00,3.534364552796205317e+00
-1.396391146137129446e+00,-1.033903933786376683e+00,-1.801449968323472595e+00,1.998790088135280030e+00
4.044656478631189600e+00,1.355687004893013636e+00,2.603743195604139693e+00,1.794687110648681028e+00
-8.094748454911842472e+00,-5.624229780180456828e+00,-2.088789800692211429e+00,-1.598176696856967283e+00
6.802374146929523135e+00,-1.874000606497730814e+00,-6.170459654196345234e+00,-5.006827181360165469e+00
-6.128774221832396840e+00,-4.413994066755094536e+00,-5.671700810446119512e+00,-4.229682052621058119e+00
-2.551708774954013936e+00,-2.255971308536743436e+00,-8.615090939836813178e+00,-6.044557509521951033e+00
-6.019881171255879515e+00,-1.247707230307440796e+00,-1.341875711736819854e+00,5.751619773107563560e+00
2.719705132110551205e+00,2.002590603285185011e+00,3.020524239591721116e+00,4.593141276106109672e-01
-3.869382632904240449e+00,-1.099686376230692986e-01,-2.297000126485992388e-01,-1.761320073815113574e+00
-7.512219167974103939e+00,-8.454644802330790299e+00,-7.171065731597759729e+00,-6.116189266755952758e+00
-6.373690309949868738e-01,1.990820743694172279e+00,2.618701873744043063e+00,-6.399460726277084177e-02
-4.216527048197415084e+00,-1.142752181231088571e+00,-3.892499805920724310e+00,8.703221376777321439e-01
4.895690059948101691e+00,4.837617890758565409e-01,-1.049067703048932820e+00,-1.983271223802773875e+00
-1.113860135721383982e+00,-5.698635177591995671e+00,-4.656472286260113225e-01,-6.521829825527447611e-02
-4.536864314751865912e+00,-2.540982311132580662e+00,-4.478934051250033299e+00,-7.963861672652683410e-01
2.971219999819962876e+00,-5.838094905641071364e-01,-2.161835245454458154e-01,-1.366425341203807875e+00
1.757399387515429234e+00,7.483364381386365949e-01,-8.155101815688097222e-01,-6.284526738479200958e+00
1.495073426606182476e+00,4.232642945186640304e+00,1.945253165308734600e+00,2.456673520768504204e+00
2.202370649287527904e+00,7.606548400258077436e-01,-4.165620228162632444e+00,-1.940392848146075266e+00
3.987491573076511031e+00,-2.099235182038029279e+00,-2.238886076657941704e+00,-7.186419364501887230e+00
2.071330841121068023e+00,2.813272209329255702e+00,-7.859691935491885939e-01,-7.404456537465250676e+00
-1.286066864858635972e+00,-5.741973423104298035e+00,-9.332800558594193774e+00,-8.296725634536585403e+00
-2.005108231463383461e+00,1.712262051633402393e+00,2.067531717643157130e+00,5.857458515296798396e-01
