t,u_nominal solution,u_SAA solution
2.062500000000000000e+00,2.711128278770958966e-01,2.693797423815623149e-01
2.069999999999999840e+00,2.717219865407858315e-01,2.699856078612971610e-01
2.077500000000000124e+00,2.723324483513143157e-01,2.705929006402438830e-01
2.084999999999999964e+00,2.729442187163916844e-01,2.712016200172512881e-01
2.092499999999999805e+00,2.735573031906494146e-01,2.718117652404345441e-01
2.100000000000000089e+00,2.741717074705070090e-01,2.724233355164321080e-01
2.107499999999999929e+00,2.747874373887179145e-01,2.730363300197452547e-01
2.114999999999999769e+00,2.754044989085936979e-01,2.736507479021556555e-01
2.122500000000000053e+00,2.760228981179077556e-01,2.742665883021484508e-01
2.129999999999999893e+00,2.766426412225095333e-01,2.748838503543650780e-01
2.137499999999999734e+00,2.772637345396646857e-01,2.755025331990269555e-01
2.145000000000000018e+00,2.778861844911373891e-01,2.761226359913173667e-01
2.152499999999999858e+00,2.785099975960496077e-01,2.767441579107097205e-01
2.160000000000000142e+00,2.791351804634847888e-01,2.773670981701986671e-01
2.167499999999999982e+00,2.797617397849216370e-01,2.779914560254255762e-01
2.174999999999999822e+00,2.803896823264725446e-01,2.786172307836765616e-01
2.182500000000000107e+00,2.810190149209648158e-01,2.792444218127220212e-01
2.189999999999999947e+00,2.816497444598820010e-01,2.798730285494681058e-01
2.197499999999999787e+00,2.822818778851879373e-01,2.805030505084133985e-01
2.205000000000000071e+00,2.829154221810656900e-01,2.811344872899065317e-01
2.212499999999999911e+00,2.835503843655638456e-01,2.817673385881549475e-01
2.219999999999999751e+00,2.841867714822136071e-01,2.824016041989693693e-01
2.227500000000000036e+00,2.848245905916123588e-01,2.830372840272442625e-01
2.234999999999999876e+00,2.854638487629996280e-01,2.836743780941392012e-01
2.242499999999999716e+00,2.861045530658530844e-01,2.843128865439629727e-01
2.250000000000000000e+00,2.867467105615262302e-01,2.849528096507233377e-01
2.257499999999999840e+00,2.873903282949473725e-01,2.855941478243377296e-01
2.265000000000000124e+00,2.880354132864003658e-01,2.862369016165180469e-01
2.272499999999999964e+00,2.886819725234245348e-01,2.868810717262472165e-01
2.279999999999999805e+00,2.893300129528346143e-01,2.875266590049330717e-01
2.287500000000000089e+00,2.899795414728930654e-01,2.881736644611543885e-01
2.294999999999999929e+00,2.906305649256632484e-01,2.888220892650079641e-01
2.302499999999999769e+00,2.912830900895477804e-01,2.894719347520693375e-01
2.310000000000000053e+00,2.919371236720331719e-01,2.901232024269410070e-01
2.317499999999999893e+00,2.925926723026731069e-01,2.907758939663774855e-01
2.324999999999999734e+00,2.932497425263152491e-01,2.914300112220120642e-01
